타임스탬프,1. 처음 오는 대학교 정문에는 도착했지만 본관까지는 길을 모를 때,2. 저 달라진 거 없어요?,3. 미용실 가서 머리 바꾸기,4. 정말 오랜만에 친구를 만났다. 그 이후는?,5. 카페에 갔는데 신메뉴가 나왓다,6. 아아 주문을 했는데 핫아가 나와버림,자신이 가입할 동아리는 어디인가요?
2022.5.19 오후 1:58:37,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,1. 그냥 먹는다,2. 공연/예술/음악
2022.5.19 오후 2:00:41,2. 지도 어플을 켠다,3. 못찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,1. 그냥 먹는다,6. 체육/레저
2022.5.19 오후 2:01:27,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022.5.19 오후 2:01:40,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,4. 학술
2022.5.19 오후 2:02:04,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 2:02:42,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022.5.19 오후 2:02:53,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022.5.19 오후 2:03:19,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,4. 학술
2022.5.19 오후 2:04:17,2. 지도 어플을 켠다,3. 못찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,1. 그냥 먹는다,1. 문화/취미
2022.5.19 오후 2:04:35,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,7. 창업
2022.5.19 오후 2:04:44,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,1. 먹던거 먹는다,1. 그냥 먹는다,5. 봉사
2022.5.19 오후 2:05:08,1. 지나가는 사람에게 물어본다,3. 못찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022.5.19 오후 2:05:12,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,5. 봉사
2022.5.19 오후 2:07:02,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022.5.19 오후 2:07:22,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 2:07:41,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,6. 체육/레저
2022.5.19 오후 2:10:21,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,1. 문화/취미
2022.5.19 오후 2:11:32,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,1. 먹던거 먹는다,1. 그냥 먹는다,2. 공연/예술/음악
2022.5.19 오후 2:11:51,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 2:13:07,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022.5.19 오후 2:16:08,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022.5.19 오후 2:17:51,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022.5.19 오후 2:20:01,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022.5.19 오후 2:24:29,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,1. 그냥 먹는다,1. 문화/취미
2022.5.19 오후 2:25:54,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,2. 공연/예술/음악
2022.5.19 오후 2:26:02,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,5. 봉사
2022.5.19 오후 2:26:19,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022.5.19 오후 2:27:10,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022.5.19 오후 2:27:43,2. 지도 어플을 켠다,3. 못찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,4. 학술
2022.5.19 오후 2:27:58,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,1. 문화/취미
2022.5.19 오후 2:28:08,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 2:28:55,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022.5.19 오후 2:30:20,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 2:34:29,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
