40,50,55,25,15,50,1
30,55,40,5,15,60,2
70,45,60,30,25,45,1
35,60,40,20,20,60,5
25,50,35,20,40,35,1
20,40,40,25,20,50,2
60,50,50,45,15,70,1
60,70,60,45,15,60,6
40,40,60,10,15,60,2
70,50,65,15,15,65,2
15,40,20,20,5,40,2
40,55,45,45,10,45,5
40,35,20,15,50,60,5
50,50,70,25,20,60,6
40,40,60,30,20,60,5
35,40,60,25,20,50,1
80,90,60,50,80,90,2
30,60,40,45,25,60,5
20,50,50,25,15,60,5
40,50,50,35,10,30,5
20,60,60,25,25,50,2
60,45,70,35,30,55,1
40,60,60,25,25,30,2
40,50,40,25,0,55,2
60,70,40,25,20,50,5
25,40,60,35,20,60,2
40,40,30,25,15,50,1
60,50,60,40,20,60,5
55,55,40,75,75,75,5
50,50,50,20,15,60,1
50,100,80,25,25,70,2
40,40,60,35,30,60,100
20,40,35,20,15,25,6
60,70,60,45,30,50,6
55,60,45,5,25,55,1
15,55,60,20,0,70,1
25,30,50,10,20,40,2
40,40,40,30,40,40,2
40,50,40,35,20,40,5
10,30,20,30,20,35,2
0,25,25,20,5,35,2
30,25,50,30,65,40,3
30,10,25,20,15,25,6
30,25,30,20,5,40,1
35,40,50,25,0,40,2
35,70,60,20,25,55,1
70,40,25,5,25,45,6
50,15,15,20,30,25,5
50,60,45,20,15,70,5
60,60,70,30,35,60,5
80,70,55,50,45,25,6
45,55,50,25,35,60,1
30,30,30,30,20,55,2
35,60,80,30,20,80,5
35,50,35,15,30,80,6
50,40,80,15,20,30,2
60,50,70,25,70,50,2
60,50,30,40,20,20,5
50,40,45,25,15,50,2
60,50,30,25,15,55,5
30,50,60,30,30,50,2
5,30,10,5,5,25,1
20,35,25,0,30,25,5
70,45,65,35,25,20,1
60,30,20,30,30,20,2
50,50,60,15,35,45,100
40,65,45,30,0,55,5
45,55,65,30,25,80,6
50,90,90,55,0,100,6
50,40,20,35,55,50,5
45,35,50,15,15,80,1
30,90,65,45,10,45,1
60,60,70,45,25,50,5
90,40,80,50,50,50,6
50,40,60,60,45,80,100
50,60,40,30,30,40,5
20,25,25,5,20,50,1
50,25,50,10,20,30,2
50,60,50,20,5,40,5
35,60,60,0,20,70,6
20,70,90,20,15,60,2
60,50,40,25,25,60,6
50,80,40,50,20,40,6
70,70,60,35,30,70,100
50,35,25,25,15,20,5
25,70,35,35,25,65,100
90,70,70,35,50,70,100
30,60,90,20,15,50,100
30,60,60,45,10,60,100
45,55,30,40,25,55,100
40,55,60,10,25,70,2
30,40,60,20,0,70,100
30,50,60,10,5,50,6
5,60,30,30,15,40,1
40,40,60,10,20,60,5
50,25,20,10,40,45,5
35,60,35,20,5,50,5
0,25,0,0,0,0,4
30,40,15,30,20,30,2
30,20,70,5,20,45,2
30,40,45,25,5,35,4
60,70,80,20,15,80,5
40,60,60,40,20,70,5
40,30,30,30,30,50,5
60,60,60,45,40,80,5
30,30,15,20,15,30,5
20,20,20,25,35,30,5
60,60,50,30,15,50,5
30,25,30,15,5,50,5
35,50,25,35,25,40,5
50,40,50,15,5,25,6
75,50,50,25,50,75,2
15,15,5,0,0,35,4
45,35,40,25,35,50,5
20,15,35,0,15,45,1
30,70,70,35,15,90,6
60,20,5,25,30,30,5
60,40,35,20,20,50,5
35,65,25,30,20,70,5
20,80,70,5,5,50,2
55,60,100,10,15,70,2
45,35,70,5,30,60,6
25,50,40,35,15,40,1
40,50,60,15,30,60,5
50,55,50,60,35,60,6
40,60,60,15,20,40,6
60,30,30,10,20,30,6
20,30,25,20,10,60,6
60,30,60,30,15,60,5
40,25,20,30,25,40,6
70,30,45,35,40,60,6
20,30,50,30,65,50,3
60,40,50,45,15,50,6
20,40,35,20,20,50,6
50,40,60,35,25,60,1
25,50,35,35,0,45,6
40,35,25,15,30,70,6
40,80,35,30,15,40,4
50,45,60,15,20,50,2
20,70,30,30,25,50,4
45,50,65,10,25,90,1
50,35,30,20,15,50,1
20,40,40,0,15,55,4
30,70,70,15,25,60,2
60,40,50,25,25,10,1
50,30,35,35,20,40,6
40,50,25,40,30,60,6
25,50,70,35,5,80,2
50,40,80,10,10,70,1
45,30,45,30,5,60,6
40,35,35,20,15,50,4
75,100,100,75,30,100,1
15,35,40,15,15,35,1
40,45,30,45,20,50,1
55,50,70,25,20,80,1
5,40,25,30,20,50,4
45,65,30,20,20,70,1
60,50,30,30,30,40,6
40,55,45,30,0,65,1
0,65,35,40,5,45,1
60,30,50,50,50,50,6
50,10,45,30,15,45,2
60,80,70,25,30,80,2
40,50,70,15,20,50,4
70,50,90,25,20,70,6
50,45,60,40,40,100,1
65,30,10,25,30,50,6
60,80,80,55,10,90,2
60,40,15,35,15,55,6
45,90,60,25,5,70,1
55,50,40,20,15,60,6
50,60,50,30,15,55,6
25,50,50,20,40,70,1
25,35,10,20,30,60,1
50,50,80,50,40,90,2
70,50,90,55,25,50,1
60,60,50,40,15,70,2
50,70,70,60,60,70,2
30,90,60,20,40,100,4
15,20,55,0,5,45,2
45,40,30,30,40,60,5
30,50,60,35,30,80,4
55,80,90,40,30,90,2
40,50,40,5,25,60,4
60,80,50,20,15,60,2
50,50,70,25,15,90,2
45,40,30,35,5,50,1
55,65,40,40,25,35,4
35,45,40,10,15,60,1
30,20,5,40,5,10,6
35,70,40,35,5,60,1
50,60,80,35,15,70,2
60,60,50,35,30,50,4
35,80,90,30,35,80,4
5,45,30,30,40,45,4
30,55,30,40,0,90,1
50,40,30,25,20,60,5
40,25,40,5,15,50,6
40,50,70,35,40,60,2
40,50,60,30,30,60,2
50,80,80,60,50,90,1
45,30,80,0,15,65,5
80,20,60,40,40,60,1
40,60,20,80,40,60,1
40,60,60,40,40,60,1
30,70,30,70,30,70,6
70,30,70,30,30,70,6
60,40,40,60,20,80,1
30,70,70,30,70,30,2
60,40,80,20,60,40,1
30,70,70,30,70,30,6
60,40,80,20,60,40,1
100,0,80,20,20,80,2
50,50,90,10,90,10,5
30,70,30,70,30,70,1
40,60,60,40,80,20,3
40,60,20,80,40,60,1
70,30,70,30,30,70,1
60,40,80,20,60,40,1
60,40,80,20,60,40,5
20,80,80,20,100,0,6
70,30,70,30,30,70,1
60,40,80,20,60,40,6
40,60,60,40,40,60,2
20,80,40,60,60,40,1
