club_id,name,club_type_id,mcc_category
407,해양탐사반,3,6
408,ExP,3,6
410,진수반,3,4
423,매직스,3,2
429,AIESEC,3,NULL
430,와우풍물패악반,3,2
434,한국대학생선교회 (CCC),3,3
436,애뜨림,3,4
438,유스호스텔,3,6
439,애륜,3,6
440,BRAINSWORDS (브레인스워즈),3,2
441,그루터기,3,NULL
442,HICC 컴퓨터연구반,3,4
444,영원한 미소,3,NULL
445,글샘문학회,3,2
446,일레븐킥스,3,6
447,죽로다우회,3,NULL
448,점프,3,6
450,경상대학교 유술회 - 먼다,3,6
451,팩토리,2,2
452,카우보이즈,3,6
455,YWAM(예수전도단),3,3
456,검도반,3,6
458,볼케이노,3,6
459,UBF (대학생성경읽기선교회),3,3
460,팡팡,3,6
463,원탁의 플레이어 (원플),3,6
464,하이러닝,3,6
465,KUSA 쿠사,3,NULL
466,Team401,3,6
467,스놀,3,2
468,비츠플로우,3,2
469,블랙테트라,3,2
470,야구반-Winners,3,6
471,인액터스 홍익,3,4
472,홍익대학교 탁구동아리 HITTC,3,6
473,Hongik Handball,3,6
474,홍익태권,3,6
475,경상대SFC,3,3
476,히아모,3,2
479,적십자(RCY),1,NULL
480,오픈런,3,2
490,경상eb,3,6
491,홍대인이반하는사랑,3,NULL
493,CCC,3,3
503,수영반,3,6
504,테니스반: HITC,3,6
505,미사랑,3,2
507,개밥바라기,3,4
513,미네르바,3,2
521,하소연,3,NULL
522,토네이도,3,NULL
523,화랑회,3,6
524,돌밭,3,6
525,악상,3,2
526,피오니어챔버오케스트라,3,2
527,해피빌더스,3,5
528,경상탁구가족,3,6
529,얼사랑,3,NULL
530,오반칙,3,6
531,바로크,3,2
532,민턴사랑,3,6
533,빛소리,3,2
534,한백YMCA,3,5
535,고나푸스,3,NULL
536,한울회,3,5
537,소리울림,3,NULL
538,로타랙트,3,5
539,기라성,3,2
540,IVF,3,3
541,악동,3,2
542,경상대 미친애드(CRAZYAD),3,NULL
543,경상극예술연구회,3,2
544,에이플러시스 APLUSES,3,7
545,베이비스트링스,3,2
546,점보,3,6
547,경상타임연구회,3,4
548,달나라 치즈먹방,1,NULL
549,그릴자유,3,2
550,묵연회,3,1
553,경상대 산악부 G.U.A.C,3,6
554,한울,3,5
555,일레븐,3,6
564,다연회,3,4
570,현실 아싸인 내가 이세계에서는 월드 히이로?!,1,4
571,동아수영회,3,6
588,제39대 총동아리연합회,4,100
590,화랑회,3,6
591,스니치,3,6
592,차곡차곡,3,4
593,필름,3,2
594,햇살,3,2
595,코스모스,3,NULL
596,오아시스,3,5
597,바다사랑,3,6
598,활빈,3,6
599,샤크,3,6
600,제우스,3,6
601,나래짓,3,2
602,어울림,3,1
603,굿데이,3,5
604,ENTERTAINMENT,3,2
605,덩더쿵,3,2
606,길바닥,3,NULL
608,정검회,3,6
609,광주교육대학교 동아리연합회,4,100
611,합창단,3,2
612,희망야학,3,5
613,한우리,3,2
614,어푸어푸,3,6
615,FFC,3,6
616,어울림,3,2
617,07월 24일,3,6
618,동동,3,NULL
619,파라다이스,3,2
620,배민,3,6
621,IVF,3,3
622,DSM,3,3
623,오즈,3,2
624,스키잉,3,6
625,스플랜더,3,NULL
626,수와셈,3,4
627,리베로,3,6
628,농심,3,NULL
629,풋폴트,3,6
630,피아니스티,3,2
631,T-ing,3,6
